,Company,TypeName,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,ppi,Touchscreen,IPS,HDD,SSD,Hybrid,Flash_Storage
42,Asus,Notebook,Intel Core i5,8,1TB HDD,Nvidia GeForce,Linux,2.3,46797,100.45,0,0,1,0,0,0
43,Acer,Notebook,Intel Core i5,4,256GB SSD,Intel UHD,Windows 10,2.2,61025,141.21,0,1,0,256,0,0
44,Dell,2 in 1 Convertible,Intel Core i5,12,1TB HDD,Nvidia GeForce,Windows 10,2.77,89391,127.34,1,0,1,0,0,0
45,Apple,Ultrabook,Intel Core i5,8,256GB SSD,Intel Iris,mac OS,1.37,126972,226.98,0,1,0,256,0,0
46,Lenovo,Notebook,Intel Core i3,4,128GB SSD,Intel HD,No OS,2.2,33018,100.45,0,0,0,128,0,0
47,Asus,Gaming,AMD Ryzen Series,8,256GB SSD +  1TB HDD,AMD Radeon,Windows 10,3.2,116235,127.34,0,0,1,256,0,0
48,Dell,Notebook,Intel Core i5,4,256GB SSD,AMD Radeon,Windows 10,2.3,57178,141.21,0,0,0,256,0,0
49,Asus,Notebook,Other Intel Processor,4,1TB HDD,Nvidia GeForce,Windows 10,2.8,41698,90.58,0,0,1,0,0,0
51,Acer,Notebook,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,2.2,75253,141.21,0,1,0,256,0,0
52,HP,Notebook,AMD A-Series,4,256GB SSD,AMD Radeon,Windows 10,1.86,35657,141.21,0,0,0,256,0,0
53,HP,Notebook,Intel Core i7,8,512GB SSD,Intel UHD,Windows 10,1.49,98696,165.63,0,0,0,512,0,0
54,Acer,Notebook,Intel Core i3,4,1TB HDD,Intel HD,Windows 10,2.4,34360,100.45,0,0,1,0,0,0
55,Dell,Notebook,Intel Core i7,8,256GB SSD,AMD Radeon,Windows 10,2.13,68703,141.21,0,0,0,256,0,0
56,HP,Notebook,Intel Core i3,4,128GB SSD,Intel HD,Windows 10,1.91,39282,141.21,0,0,0,128,0,0
57,Asus,Notebook,Intel Core i5,4,256GB SSD,Intel HD,Windows 10,2.0,52452,100.45,0,0,0,256,0,0
58,MSI,Gaming,Intel Core i7,16,256GB SSD +  2TB HDD,Nvidia GeForce,Windows 10,2.43,219137,127.34,0,0,2,256,0,0
59,Asus,Notebook,Intel Core i3,4,256GB SSD,Intel HD,Linux,2.0,37134,141.21,0,0,0,256,0,0
60,Dell,Notebook,Intel Core i7,16,256GB SSD +  2TB HDD,AMD Radeon,Windows 10,2.8,116235,127.34,0,0,2,256,0,0
61,Dell,Ultrabook,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.7,78653,157.35,0,0,0,256,0,0
62,Lenovo,Notebook,Intel Core i3,8,256GB SSD,Intel HD,No OS,1.7,53599,157.35,0,1,0,256,0,0
63,Asus,Notebook,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.4,84201,157.35,0,0,0,256,0,0
64,HP,Notebook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.86,61741,141.21,0,0,0,256,0,0
65,Asus,Ultrabook,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows 10,1.8,177439,141.21,0,0,0,512,0,0
66,HP,Notebook,Intel Core i3,4,500GB HDD,AMD Radeon,Windows 10,1.86,39254,100.45,0,0,500,0,0,0
67,HP,Notebook,Other Intel Processor,4,32GB SSD,Intel HD,Windows 10,1.44,20491,111.94,0,0,0,32,0,0
68,Lenovo,Notebook,Intel Core i5,4,1TB HDD,Intel HD,Windows 10,1.9,49125,141.21,0,0,1,0,0,0
69,Asus,Gaming,Intel Core i7,12,1TB HDD,Nvidia GeForce,Linux,3.0,84917,127.34,0,0,1,0,0,0
71,Dell,Ultrabook,Intel Core i7,8,256GB SSD,AMD Radeon,Windows 10,1.4,85453,165.63,0,1,0,256,0,0
72,Dell,Notebook,Intel Core i7,8,256GB SSD,AMD Radeon,Windows 10,2.2,77848,141.21,0,0,0,256,0,0
73,MSI,Gaming,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.7,97981,127.34,0,0,1,128,0,0
74,Acer,Notebook,Intel Core i3,8,1TB HDD,Intel HD,Windows 10,2.1,34808,111.94,0,0,1,0,0,0
75,Asus,Gaming,Intel Core i7,8,1TB HDD,Nvidia GeForce,Windows 10,2.2,84917,141.21,0,0,1,0,0,0
76,Lenovo,Notebook,Intel Core i5,8,2TB HDD,Intel HD,No OS,2.2,46440,141.21,0,0,2,0,0,0
77,Dell,Notebook,Intel Core i7,8,128GB SSD +  1TB HDD,Intel UHD,Windows 10,2.02,76505,141.21,0,0,1,128,0,0
78,Acer,Notebook,Intel Core i3,4,1TB HDD,Nvidia GeForce,Windows 10,2.2,47424,141.21,0,0,1,0,0,0
79,HP,Notebook,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.5,87422,127.34,0,0,1,128,0,0
80,Dell,Ultrabook,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.88,98084,141.21,0,1,0,256,0,0
82,HP,Notebook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.63,76953,157.35,0,0,0,256,0,0
83,Lenovo,Notebook,AMD A-Series,4,128GB SSD,AMD R4,Windows 10,2.2,35703,141.21,0,0,0,128,0,0
84,Acer,Notebook,AMD A-Series,4,1TB HDD,AMD Radeon,Windows 10,2.1,35345,100.45,0,0,1,0,0,0
85,Dell,Gaming,Intel Core i7,16,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.65,120709,141.21,0,1,1,128,0,0
86,HP,Ultrabook,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,1.83,62547,141.21,0,1,0,256,0,0
87,HP,Notebook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.96,53598,141.21,0,0,0,256,0,0
88,Asus,Gaming,Intel Core i7,16,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.2,129657,141.21,0,1,1,128,0,0
89,Dell,Ultrabook,Intel Core i7,8,256GB SSD,Intel UHD,Windows 10,1.21,147553,165.63,0,1,0,256,0,0
90,Asus,Gaming,AMD F-Series,8,1TB HDD,AMD Radeon,Windows 10,2.45,62547,141.21,0,0,1,0,0,0
91,Acer,Notebook,Intel Core i7,8,1TB HDD,Nvidia GeForce,Windows 10,2.2,61652,141.21,0,0,1,0,0,0
92,HP,Notebook,Intel Core i7,16,512GB SSD,Intel UHD,Windows 10,1.49,107108,165.63,0,0,0,512,0,0
93,Dell,Gaming,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows 10,2.65,106929,141.21,0,0,0,256,0,0
94,Asus,Ultrabook,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,1.25,93865,157.35,0,0,0,256,0,0
95,Acer,2 in 1 Convertible,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.5,75790,165.63,1,1,0,256,0,0
96,Dell,Notebook,Intel Core i7,8,1TB HDD,AMD Radeon,Linux,2.2,53679,141.21,0,0,1,0,0,0
97,Dell,Notebook,Intel Core i3,4,256GB SSD,AMD Radeon,Linux,2.2,43398,141.21,0,0,0,256,0,0
98,Asus,Notebook,Intel Core i3,6,256GB SSD,Nvidia GeForce,Windows 10,2.0,51630,141.21,0,0,0,256,0,0
99,HP,Gaming,Intel Core i7,12,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.62,111761,141.21,0,1,1,128,0,0
100,HP,Notebook,Intel Core i7,8,256GB SSD,AMD Radeon,Windows 10,1.91,64336,141.21,0,0,0,256,0,0
101,HP,Notebook,AMD E-Series,4,500GB HDD,AMD Radeon,Windows 10,2.1,31229,141.21,0,0,500,0,0,0
102,Dell,Notebook,Intel Core i5,8,1TB HDD,AMD Radeon,Linux,2.2,57894,141.21,0,0,1,0,0,0
103,HP,Ultrabook,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,1.38,100128,165.63,0,1,0,256,0,0
105,HP,Notebook,Intel Core i5,6,256GB SSD,Nvidia GeForce,Windows 10,1.58,58967,157.35,0,1,0,256,0,0
106,Lenovo,Notebook,Intel Core i3,4,1TB HDD,Intel HD,Windows 10,1.85,37125,141.21,0,0,1,0,0,0
107,Asus,Ultrabook,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,1.3,106750,157.35,0,1,0,256,0,0
108,MSI,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.2,116235,141.21,0,0,1,256,0,0
109,Lenovo,Notebook,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,1.58,132430,157.35,0,1,0,256,0,0
110,Asus,Ultrabook,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,1.5,112924,141.21,0,0,1,256,0,0
111,Dell,Ultrabook,Intel Core i7,8,256GB SSD,Intel Iris,Windows 10,1.23,123393,276.05,1,0,0,256,0,0
112,Lenovo,2 in 1 Convertible,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.37,125183,165.63,1,1,0,256,0,0
113,HP,Notebook,Intel Core i5,4,500GB HDD,Intel UHD,Windows 10,1.63,64605,111.94,0,1,500,0,0,0
114,Dell,Ultrabook,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.21,145763,165.63,0,1,0,256,0,0
115,HP,2 in 1 Convertible,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.26,125182,165.63,1,1,0,256,0,0
116,HP,Notebook,Intel Core i7,8,512GB SSD,Intel UHD,Windows 10,1.63,96996,157.35,0,0,0,512,0,0
117,Dell,Notebook,Intel Core i7,8,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.16,101142,141.21,0,1,1,256,0,0
118,Asus,Notebook,Intel Core i3,4,1TB HDD,Nvidia GeForce,Windows 10,2.0,50467,127.34,0,0,1,0,0,0
119,Asus,Notebook,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,1.7,100039,141.21,0,0,0,256,0,0
120,Acer,Notebook,Intel Core i3,6,1TB HDD,Intel HD,Windows 10,2.1,42861,141.21,1,1,1,0,0,0
121,MSI,Gaming,Intel Core i7,16,256GB SSD +  2TB HDD,Nvidia GeForce,Windows 10,1.8,200569,141.21,0,0,2,256,0,0
122,Lenovo,Notebook,Intel Core i5,8,256GB SSD,Nvidia GeForce,No OS,2.2,56283,141.21,0,0,0,256,0,0
123,HP,Notebook,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows 10,2.5,113729,127.34,0,0,0,512,0,0
124,Acer,Notebook,AMD A-Series,4,256GB SSD,AMD Radeon,Windows 10,2.1,40355,100.45,0,0,0,256,0,0
125,HP,Notebook,Other Intel Processor,4,500GB HDD,Intel HD,No OS,1.86,23175,100.45,0,0,500,0,0,0
126,HP,Notebook,Intel Core i5,8,1TB HDD,Intel UHD,Windows 10,1.63,72658,157.35,0,0,1,0,0,0
127,Asus,Notebook,AMD E-Series,4,64GB SSD,AMD Radeon,Windows 10,1.65,24875,111.94,0,0,0,64,0,0
128,Dell,Notebook,Intel Core i7,16,256GB SSD +  2TB HDD,AMD Radeon,Windows 10,2.8,124914,127.34,0,0,2,256,0,0
129,HP,Notebook,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,2.5,83037,127.34,0,0,0,256,0,0
130,Dell,Notebook,Intel Core i5,8,1TB HDD,AMD Radeon,Windows 10,2.36,57177,100.45,0,0,1,0,0,0
131,Dell,Notebook,Intel Core i3,4,1TB HDD,AMD Radeon,Windows 10,2.2,40177,141.21,0,0,1,0,0,0
132,Acer,Ultrabook,Intel Core i7,8,256GB SSD,Intel UHD,Windows 10,1.6,79100,157.35,0,1,0,256,0,0
133,Acer,Notebook,Intel Core i3,4,256GB SSD,Nvidia GeForce,Windows 10,2.2,51183,141.21,0,0,0,256,0,0
134,HP,Notebook,Intel Core i7,8,1TB HDD,Intel HD,Windows 10,2.05,53509,100.45,0,0,1,0,0,0
135,HP,Notebook,Intel Core i7,8,256GB SSD,Intel UHD,Windows 10,1.63,88406,157.35,0,0,0,256,0,0
136,Lenovo,Notebook,Other Intel Processor,4,1TB HDD,Intel HD,No OS,1.9,22581,100.45,0,0,1,0,0,0
137,Asus,Gaming,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,3.0,83932,127.34,0,0,1,128,0,0
138,Lenovo,Notebook,Intel Core i5,4,1TB HDD,Nvidia GeForce,No OS,2.2,44651,141.21,0,0,1,0,0,0
139,HP,Notebook,Intel Core i5,4,256GB SSD,Intel HD,Windows 10,1.32,62547,165.63,0,1,0,256,0,0
140,Acer,Notebook,Intel Core i3,4,1TB HDD,Nvidia GeForce,Windows 10,3.0,58609,127.34,0,1,1,0,0,0
141,Lenovo,Notebook,Intel Core i5,8,256GB SSD,AMD Radeon,Windows 10,1.75,99861,157.35,0,1,0,256,0,0
142,Lenovo,Gaming,Intel Core i7,8,256GB SSD,Nvidia GeForce,No OS,2.4,77758,141.21,0,1,0,256,0,0
143,Toshiba,Notebook,Intel Core i5,4,500GB HDD,Intel HD,Windows 10,2.1,53867,100.45,0,0,500,0,0,0
144,HP,Notebook,AMD A-Series,4,256GB SSD,AMD Radeon,Windows 10,1.86,33018,100.45,0,0,0,256,0,0
145,Asus,Ultrabook,Intel Core i7,8,256GB SSD,Intel UHD,Windows 10,1.25,98339,157.35,0,0,0,256,0,0
146,HP,Ultrabook,Other Intel Processor,8,512GB SSD,Intel HD,Windows 10,0.97,180213,352.47,1,1,0,512,0,0
147,Asus,Notebook,Other Intel Processor,4,1TB HDD,Intel HD,Windows 10,2.0,30781,141.21,0,0,1,0,0,0
148,MSI,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.9,181555,127.34,0,0,1,256,0,0
149,Acer,Notebook,Intel Core i3,4,1TB HDD,Intel HD,Windows 10,2.1,39998,100.45,0,0,1,0,0,0
150,Dell,Gaming,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows 10,2.56,111784,141.21,0,0,0,512,0,0
151,Dell,Gaming,Intel Core i7,8,1.0TB Hybrid,Nvidia GeForce,Windows 10,2.62,80443,141.21,0,0,0,0,10,0
152,Lenovo,Notebook,Intel Core i5,4,128GB SSD,Intel HD,Windows 10,1.9,44561,100.45,0,0,0,128,0,0
153,MSI,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.8,169117,127.34,0,0,1,256,0,0
154,HP,Ultrabook,Intel Core i5,4,256GB SSD,Intel HD,Windows 10,1.48,96817,157.35,0,0,0,256,0,0
155,HP,Notebook,Intel Core i5,6,256GB SSD,AMD Radeon,Windows 10,1.91,55388,141.21,0,0,0,256,0,0
156,Lenovo,2 in 1 Convertible,Intel Core i3,4,256GB SSD,Intel HD,Windows 10,1.74,56283,157.35,1,1,0,256,0,0
157,Asus,2 in 1 Convertible,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.1,117666,165.63,1,0,0,256,0,0
158,Dell,2 in 1 Convertible,Intel Core i7,8,256GB SSD,Intel UHD,Windows 10,1.56,93865,141.21,1,0,0,256,0,0
159,Toshiba,Notebook,Intel Core i3,4,500GB HDD,Intel HD,Windows 10,2.1,39998,100.45,0,0,500,0,0,0
160,Asus,Notebook,AMD A-Series,4,1TB HDD,AMD Radeon,Windows 10,2.03,36060,100.45,0,0,1,0,0,0
161,Acer,Notebook,Intel Core i5,4,256GB SSD,Nvidia GeForce,Windows 10,3.0,72031,127.34,0,1,0,256,0,0
162,Dell,Notebook,Intel Core i5,8,256GB SSD,AMD Radeon,Windows 10,2.13,65141,141.21,0,0,0,256,0,0
163,Lenovo,Gaming,Intel Core i7,16,256GB SSD,Nvidia GeForce,Windows 10,2.5,96549,141.21,0,1,0,256,0,0
164,Acer,Notebook,Other Intel Processor,4,1TB HDD,Intel HD,Windows 10,2.1,31139,100.45,0,0,1,0,0,0
165,MSI,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.4,160975,141.21,0,1,1,256,0,0
166,Acer,Notebook,Other Intel Processor,4,1TB HDD,Intel HD,Windows 10,2.1,32527,100.45,0,0,1,0,0,0
167,Dell,Gaming,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.56,94893,141.21,0,0,1,128,0,0
168,Acer,Notebook,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows 10,3.0,76416,127.34,0,1,0,256,0,0
169,HP,Notebook,Intel Core i5,4,500GB HDD,Intel UHD,Windows 10,1.49,67468,165.63,0,1,500,0,0,0
171,HP,Notebook,Intel Core i5,6,2TB HDD,AMD Radeon,Windows 10,2.71,62547,127.34,0,1,2,0,0,0
172,Lenovo,Notebook,AMD A-Series,4,500GB HDD,AMD Radeon,No OS,2.2,27649,100.45,0,0,500,0,0,0
173,Toshiba,Notebook,Intel Core i3,4,500GB HDD,Intel HD,Windows 10,2.0,43756,100.45,0,0,500,0,0,0
174,HP,Notebook,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows 10,2.5,82590,127.34,0,0,0,256,0,0
175,Dell,Notebook,Intel Core i3,8,1TB HDD,Intel HD,Windows 10,2.3,41071,100.45,0,0,1,0,0,0
176,Acer,Notebook,Intel Core i3,4,128GB SSD,Intel HD,Windows 10,2.1,40177,100.45,0,0,0,128,0,0
178,Lenovo,Notebook,Intel Core i5,8,128GB SSD +  1TB HDD,AMD R17M-M1-70,Windows 10,1.9,72747,141.21,0,0,1,128,0,0
179,HP,2 in 1 Convertible,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.29,134131,331.26,1,1,0,256,0,0
180,Dell,Notebook,Intel Core i7,16,256GB SSD +  2TB HDD,AMD Radeon,Linux,2.02,93865,141.21,0,0,2,256,0,0
181,Dell,Ultrabook,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.23,125183,165.63,0,0,0,256,0,0
183,Toshiba,Notebook,Intel Core i5,8,128GB SSD,Intel HD,Windows 10,2.0,70958,100.45,0,0,0,128,0,0
185,Dell,Notebook,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows 10,2.77,138605,127.34,1,0,0,512,0,0
186,Dell,Notebook,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows 10,2.06,214484,282.42,1,0,0,512,0,0
187,Lenovo,Gaming,Intel Core i5,8,256GB SSD,Nvidia GeForce,No OS,2.4,69705,141.21,0,1,0,256,0,0
188,Acer,Ultrabook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.12,88496,165.63,0,1,0,256,0,0
189,Dell,Notebook,Intel Core i7,8,128GB SSD +  1TB HDD,AMD Radeon,Windows 10,2.8,97086,127.34,0,0,1,128,0,0
190,Lenovo,2 in 1 Convertible,Intel Core i7,16,1TB SSD,Intel HD,Windows 10,1.42,252692,209.8,1,0,0,1,0,0
193,Lenovo,Notebook,Intel Core i5,8,256GB SSD,Nvidia GeForce,No OS,2.8,62457,106.11,0,0,0,256,0,0
194,Dell,2 in 1 Convertible,Intel Core i7,8,1TB HDD,Intel UHD,Windows 10,1.62,75074,165.63,1,1,1,0,0,0
195,HP,Notebook,Intel Core i5,8,1TB HDD,Nvidia GeForce,Windows 10,2.5,81785,127.34,0,1,1,0,0,0
197,HP,Notebook,Intel Core i5,8,512GB SSD,Intel UHD,Windows 10,1.49,85811,165.63,0,0,0,512,0,0
198,HP,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,3.35,123393,127.34,0,1,1,256,0,0
199,HP,Notebook,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,2.5,93507,127.34,0,0,0,256,0,0
200,Dell,Gaming,Intel Core i7,16,512GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.65,165091,282.42,0,1,1,512,0,0
201,Lenovo,Notebook,Intel Core i5,4,128GB SSD,Intel HD,Windows 10,2.1,44114,100.45,0,0,0,128,0,0
202,Acer,Notebook,Intel Core i7,8,1TB HDD,Nvidia GeForce,Windows 10,2.23,66394,141.21,0,0,1,0,0,0
203,Lenovo,Gaming,Intel Core i7,16,512GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,3.2,156501,141.21,0,1,1,512,0,0
204,Dell,Workstation,Other Intel Processor,16,256GB SSD +  1TB HDD,Nvidia Quadro,Windows 10,2.8,273361,282.42,0,0,1,256,0,0
205,Lenovo,Gaming,Intel Core i7,16,512GB SSD,Nvidia GeForce,No OS,2.4,125093,141.21,0,0,0,512,0,0
206,Dell,Notebook,Intel Core i3,6,1TB HDD,Intel HD,Windows 10,2.3,39282,100.45,1,0,1,0,0,0
207,Dell,Ultrabook,Intel Core i7,8,256GB SSD,Intel UHD,Windows 10,1.21,174397,331.26,1,1,0,256,0,0
208,Dell,Ultrabook,Intel Core i7,8,256GB SSD,Intel UHD,Windows 10,1.2,129657,165.63,0,0,0,256,0,0
209,Lenovo,Notebook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,2.2,53420,100.45,0,0,0,256,0,0
210,Acer,Notebook,Intel Core i7,8,1TB HDD,Nvidia GeForce,Linux,2.4,69705,141.21,0,0,1,0,0,0
211,Asus,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.9,125898,127.34,0,0,1,256,0,0
212,HP,Notebook,Intel Core i3,4,500GB HDD,Intel HD,No OS,2.1,31229,141.21,0,0,500,0,0,0
213,Lenovo,Notebook,Intel Core i5,8,256GB SSD,Intel HD,No OS,2.2,49125,141.21,0,0,0,256,0,0
215,Dell,Ultrabook,Intel Core i7,8,256GB SSD,AMD Radeon,Windows 10,1.4,83385,165.63,0,1,0,256,0,0
216,Lenovo,Notebook,Intel Core i5,8,1TB HDD,Nvidia GeForce,No OS,2.8,52704,106.11,0,0,1,0,0,0
217,HP,Notebook,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,1.63,92254,157.35,0,0,0,256,0,0
218,Dell,Ultrabook,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.6,102813,157.35,0,0,0,256,0,0
219,Dell,2 in 1 Convertible,Intel Core i7,16,512GB SSD,Intel UHD,Windows 10,1.62,114445,165.63,1,0,0,512,0,0
220,Dell,Notebook,Intel Core i5,8,256GB SSD,AMD Radeon,Linux,2.2,60609,141.21,0,0,0,256,0,0
221,Lenovo,2 in 1 Convertible,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.74,80443,157.35,0,1,0,256,0,0
222,Toshiba,Ultrabook,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,1.2,121961,165.63,0,0,0,256,0,0
223,HP,Notebook,Intel Core i5,8,1TB HDD,Intel UHD,Windows 10,2.1,71047,141.21,0,0,1,0,0,0
224,Dell,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,4.42,219793,127.34,0,1,1,256,0,0
